Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline udersampling,ANN,0.7572521801032213,0.7400476114287959,0.7685683404699837,0.7428848641511488
ANN Percobaan normalisasi udersampling,ANN,0.7828795159281011,0.7661492671035546,0.8026906017776707,0.7733281181919792
ANN Percobaan pca 7 udersampling,ANN,0.7102687310909415,0.7002003576616522,0.7300391113357725,0.7000540845630129
ANN Percobaan pca 6 udersampling,ANN,0.6910482292222816,0.6739521702324146,0.7200994500442675,0.6836686322158017
ANN Percobaan pca 5 udersampling,ANN,0.6077593877914219,0.6038144331761985,0.6468220602812684,0.6064146998138593
