Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline imbalance,ANN,0.8476672950047125,0.8472748337845581,0.8039251710595015,0.819392145513221
ANN Percobaan normalisasi imbalance,ANN,0.8632186616399623,0.8663610857439064,0.8221192731155534,0.8379477845419668
ANN Percobaan pca 8 imbalance,ANN,0.8435438265786993,0.8374847088515504,0.8038870221904345,0.8154050233524659
ANN Percobaan pca 7 imbalance,ANN,0.8049010367577757,0.8129044433793504,0.7504095634756917,0.7743411488216999
ANN Percobaan pca 6 imbalance,ANN,0.7736804901036758,0.7918664247702141,0.7112513893690487,0.7363727409708879
ANN Percobaan pca 5 imbalance,ANN,0.7254948162111216,0.7486890015339445,0.6481290602183982,0.6779148268215078
