IBI,HR,NO2,Noise,NH3,PM10,CO,PM25,Label,PM1,EDA,BVP
0,0.194644729,0.058960582,0.353069913,0.101263016,0,0.754424242,0,5,0,0,0
0,0.206137618,0.058960582,0.353002954,0.10065938,0,0.741979798,0,5,0,0,0
0,0.195994991,0.058960582,0.352935995,0.100055744,0,0.729535354,0,5,0,0,0
0,0.207124252,0.058960582,0.352869036,0.099452108,0,0.717090909,0,5,0,0,0
0,0.218266772,0.058960582,0.352802077,0.098848472,0,0.704646465,0,5,0,0,0
0,0.229541219,0.058960582,0.352735118,0.098244836,0,0.69220202,0,5,0,0,0
0,0.242381553,0.058960582,0.35266816,0.0976412,0,0.679757576,0,5,0,0,0
0,0.255308069,0.058960582,0.352601201,0.097037564,0,0.667313131,0,5,0,0,0
0,0.265711567,0.058960582,0.352534242,0.096433928,0,0.654868687,0,5,0,0,0
0,0.275970707,0.058960582,0.352467283,0.095830292,0,0.642424242,0,5,0,0,0
0,0.285261113,0.058960582,0.352400324,0.095226656,0,0.629979798,0,5,0,0,0
0,0.295268664,0.058960582,0.352333365,0.09462302,0,0.617535354,0,5,0,0,0
0,0.305709452,0.058960582,0.352266406,0.094019384,0,0.605090909,0,5,0,0,0
0,0.316367025,0.058960582,0.352199448,0.093415748,0,0.592646465,0,5,0,0,0
0,0.32896737,0.058960582,0.352132489,0.092812112,0,0.58020202,0,5,0,0,0
0,0.340338277,0.058960582,0.35206553,0.092208476,0,0.567757576,0,5,0,0,0
0,0.350852321,0.059150777,0.352518195,0.09174035,0.00397351,0.558626263,0.001589404,5,0.001589404,0,0
0,0.362472164,0.061480671,0.358816633,0.092796713,0.031788079,0.569373737,0.012715232,5,0.012715232,0,0
0,0.371281269,0.063810565,0.36511507,0.093853076,0.059602649,0.580121212,0.02384106,5,0.02384106,0,0
0,0.379129925,0.066140459,0.371413507,0.094909439,0.087417219,0.590868687,0.034966887,5,0.034966887,0,0
0,0.385774335,0.068470353,0.377711945,0.095965802,0.115231788,0.601616162,0.046092715,5,0.046092715,0,0
0,0.390996718,0.070800247,0.384010382,0.097022165,0.143046358,0.612363636,0.057218543,5,0.057218543,0,0
0,0.395167497,0.073130141,0.39030882,0.098078528,0.170860927,0.623111111,0.068344371,5,0.068344371,0,0
0,0.402336631,0.075460035,0.396607257,0.099134891,0.198675497,0.633858586,0.079470199,5,0.079470199,0,0
0,0.410488918,0.077789929,0.402905695,0.100191254,0.226490066,0.644606061,0.090596026,5,0.090596026,0,0
0,0.418122448,0.080119823,0.409204132,0.101247617,0.254304636,0.655353535,0.101721854,5,0.101721854,0,0
0,0.425905307,0.082449717,0.415502569,0.10230398,0.282119205,0.66610101,0.112847682,5,0.112847682,0,0
0,0.434084112,0.084779611,0.421801007,0.103360343,0.309933775,0.676848485,0.12397351,5,0.12397351,0,0
0,0.441337606,0.087109505,0.428099444,0.104416706,0.337748344,0.68759596,0.135099338,5,0.135099338,0,0
0,0.449471994,0.089439399,0.434397882,0.105473069,0.365562914,0.698343434,0.146225166,5,0.146225166,0,0
0,0.458060171,0.091769293,0.440696319,0.106529432,0.393377483,0.709090909,0.157350993,5,0.157350993,0,0
0,0.465916783,0.094099187,0.446994756,0.107585795,0.421192053,0.719838384,0.168476821,5,0.168476821,0,0
0,0.472192924,0.096429081,0.453293194,0.108642158,0.449006623,0.730585859,0.179602649,5,0.179602649,0,0
0,0.477778603,0.098758975,0.459591631,0.109698521,0.476821192,0.741333333,0.190728477,5,0.190728477,0,0
0,0.483508308,0.101088869,0.465890069,0.110754884,0.504635762,0.752080808,0.201854305,5,0.201854305,0,0
0,0.489632633,0.103418763,0.472188506,0.111811247,0.532450331,0.762828283,0.212980132,5,0.212980132,0,0
0,0.49559868,0.105748657,0.478486943,0.11286761,0.560264901,0.773575758,0.22410596,5,0.22410596,0,0
0,0.501927525,0.108078551,0.484785381,0.113923973,0.58807947,0.784323232,0.235231788,5,0.235231788,0,0
0,0.500345728,0.110408445,0.491083818,0.114980336,0.61589404,0.795070707,0.246357616,5,0.246357616,0,0
0,0.49922236,0.112738339,0.497382256,0.116036699,0.643708609,0.805818182,0.257483444,5,0.257483444,0,0
0,0.497818897,0.115068233,0.503680693,0.117093062,0.671523179,0.816565657,0.268609272,5,0.268609272,0,0
0,0.498645926,0.117398127,0.509979131,0.118149425,0.699337748,0.827313131,0.279735099,5,0.279735099,0,0
