Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline randomoversampling,ANN,0.800498309307706,0.7830701476604075,0.8103475809548775,0.788188204324858
ANN Percobaan normalisasi randomoversampling,ANN,0.8303968677700658,0.8098429205196703,0.8375403031410091,0.8157213000771822
ANN Percobaan pca 8 randomoversampling,ANN,0.801566114967076,0.7839921140133763,0.8171096109251341,0.7880286148576274
ANN Percobaan pca 7 randomoversampling,ANN,0.7707777184552411,0.7565558974699526,0.7811169206373708,0.7573768398400909
ANN Percobaan pca 6 randomoversampling,ANN,0.7334045203772913,0.7247310891320161,0.7534583711069226,0.7237989426848225
ANN Percobaan pca 5 randomoversampling,ANN,0.6652429257875067,0.6558085982309597,0.6904936212691288,0.6581392049060943
