Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline smote,ANN,0.8427191328934966,0.820582404095974,0.8499091018155351,0.8287370432572521
ANN Percobaan normalisasi Smote,ANN,0.8632186616399623,0.8450067860652739,0.8628810887967548,0.8480125822004206
ANN Percobaan pca 8 Smote,ANN,0.8421300659754948,0.8182611498783311,0.840563885025029,0.8255435353360039
ANN Percobaan pca 7 Smote,ANN,0.8094957587181904,0.7873621991432916,0.8100407348981624,0.7921824940341213
ANN Percobaan pca 6 smote,ANN,0.77815739868049,0.7581667286905127,0.7868059217982248,0.7641298267268072
ANN Percobaan pca 5 smote,ANN,0.7238454288407163,0.7039818167259317,0.7386747144967342,0.7124572809482207
