Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline imbalance,ANN,0.8159814913685709,0.8159001168649966,0.7717592037993566,0.7886780939913718
ANN Percobaan normalisasi imbalance,ANN,0.8391172806549207,0.8384584208161648,0.7966514676178018,0.8124947216219354
ANN Percobaan pca 8 imbalance,ANN,0.807083110873821,0.7995624172582494,0.7674101900490061,0.7776855506768988
ANN Percobaan pca 7 imbalance,ANN,0.792311799252536,0.7992906985768495,0.7358362373611106,0.757540596639208
ANN Percobaan pca 6 imbalance,ANN,0.7595657590318562,0.7804039344964511,0.6914803630158607,0.7207929388501795
ANN Percobaan pca 5 imbalance,ANN,0.7106246663107314,0.7409718162256486,0.6347571493961986,0.6652544146517515
