Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline udersampling,ANN,0.7926484448633365,0.7710254169347499,0.8083606137163294,0.7810251016629711
ANN Percobaan normalisasi udersampling,ANN,0.8276390197926484,0.802236734769803,0.8348545754857767,0.8127409455208572
ANN Percobaan pca 7 udersampling,ANN,0.7536522148916117,0.7395073577197836,0.7745733116369836,0.7440482449223548
ANN Percobaan pca 6 udersampling,ANN,0.7342130065975495,0.7218937645157497,0.7470116869861704,0.7212514643621799
ANN Percobaan pca 5 udersampling,ANN,0.6979264844486334,0.6806944147228068,0.7107121341778888,0.6851525628279636
