Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline randomoversampling,ANN,0.8530867106503299,0.8329078191935471,0.8540318788114668,0.8378628265505768
ANN Percobaan normalisasi randomoversampling,ANN,0.8661639962299718,0.8446616488707003,0.8649172809526654,0.850029271678518
ANN Percobaan pca 8 randomoversampling,ANN,0.8205702167766258,0.7979930136097441,0.8365432553439739,0.8075619195556785
ANN Percobaan pca 7 randomoversampling,ANN,0.8092601319509897,0.7905458976290219,0.8113254114983498,0.7925809425088202
ANN Percobaan pca 6 randomoversampling,ANN,0.7660226201696513,0.7590010939699428,0.7827101753077438,0.7547771854027985
ANN Percobaan pca 5 randomoversampling,ANN,0.7343308199811499,0.7164378861329551,0.7473154199114674,0.722178071324508
